Country,Legal Status,Citation Date,Log Price,Log Volume
Afghanistan,Illegal,2022-08-26,9.915905134250886,12.682803595525336
Albania,Legal,2021-06-11,10.527139949958254,11.60047836197809
Algeria,Illegal,2018-08-14,8.730722675334386,15.112973705377549
Algeria,Illegal,2019-01-03,8.23750574329016,13.017713720137909
Angola,Legal,2020-01-07,9.006472348281209,13.825460888817442
Argentina,Legal /  Banking ban,2022-05-05,10.506272293015682,20.76248655009969
Argentina,Legal /  Banking ban,2022-05-06,10.491524186193454,20.439363279786637
Argentina,Legal /  Banking ban,2022-01-15,10.671208668100814,10.355836246543143
Australia,Legal,2013-12-13,6.8424698122835075,9.76249985923515
Australia,Legal,2014-09-21,5.995456568377519,9.251482315307358
Australia,Legal,2022-03-11,10.564374936451054,21.749307432779684
Austria,Legal,2018-08-14,8.730722675334386,15.112973705377549
Bangladesh,Illegal,2021-07-27,10.582840022073885,11.51532258956995
Bangladesh,Illegal,2023-01-30,10.035927099313852,12.735582624500292
Bangladesh,Illegal,2014-09-15,6.168982920395917,8.635864721133736
Bangladesh,Illegal,2022-01-12,10.689692377847104,10.895812970686281
Bangladesh,Illegal,2015-02-23,5.475626381518447,11.04563814321872
Bangladesh,Illegal,2018-08-14,8.730722675334386,15.112973705377549
Belarus,Legal,,,
Belgium,Legal,2022-01-15,10.671208668100814,10.355836246543143
Bolivia,Illegal,2018-08-14,8.730722675334386,15.112973705377549
Bolivia,Illegal,2014-06-20,6.381477550657225,7.673223121121708
Bolivia,Illegal,2015-02-23,5.475626381518447,11.04563814321872
Bosnia and Herzegovina,Legal,,,
Brazil,Legal,2014-02-19,5.566434283504978,10.357742824813725
Brazil,Legal,2019-05-03,8.659872612937749,13.854731271117556
Brazil,Legal,2021-03-04,10.787833437827631,9.165343006045447
Brazil,Legal,2017-11-17,8.948975607841776,11.67291620127917
Brunei,Legal to trade and hold,2018-12-12,8.1507853215616,12.876897527085628
Bulgaria,Legal,,,
Cambodia,Legal /  Banking ban,2018-08-14,8.730722675334386,15.112973705377549
Canada,Legal /  Banking ban,2017-09-05,8.391425865980748,11.972941887682897
Canada,Legal /  Banking ban,2019-03-22,8.291646755485717,14.85578726961942
Central African Republic,Legal,2022-04-27,10.577528363356336,19.871896365455818
Chile,Legal,2022-01-15,10.671208668100814,10.355836246543143
China (PRC),Illegal,2015-02-18,5.460436216024472,11.509519671835395
China (PRC),Illegal,2018-08-14,8.730722675334386,15.112973705377549
China (PRC),Illegal,2021-09-24,10.664758226783638,11.766637017850856
China (PRC),Illegal,2018-01-05,9.738306258559762,11.863300606760433
China (PRC),Illegal,2018-01-10,9.618668045697824,11.37446767182266
China (PRC),Illegal,2014-04-01,6.13880638500591,8.286521373681236
China (PRC),Illegal,2014-11-08,5.839187111662404,9.010669176847115
China (PRC),Illegal,2018-07-12,8.740432738122742,12.575012072288889
China (PRC),Illegal,2018-09-29,8.795415662587395,16.058345646552546
China (PRC),Illegal,2018-01-09,9.600928700853917,11.176053148327675
China (PRC),Illegal,2013-12-05,7.008776393040865,10.975755865864636
China (PRC),Illegal,2013-12-16,6.6331868456757395,10.629343907505778
Colombia,Legal /  Banking ban,2018-08-14,8.730722675334386,15.112973705377549
Costa Rica,Not considered currency,2017-10-09,8.471672676114428,11.609961427481823
Costa Rica,Not considered currency,2022-01-15,10.671208668100814,10.355836246543143
Croatia,Legal,2018-08-14,8.730722675334386,15.112973705377549
Cyprus,Legal,2022-01-15,10.671208668100814,10.355836246543143
Czech Republic,Legal,2018-05-22,8.987946539552519,11.83145192071699
Czech Republic,Legal,2017-12-14,9.709168310488556,11.589145490881638
Czech Republic,Legal,2018-08-14,8.730722675334386,15.112973705377549
Denmark,Legal,2013-12-17,6.5722825426940075,10.364387367532393
Denmark,Legal,2022-01-15,10.671208668100814,10.355836246543143
Denmark,Legal,2022-04-22,10.589333141234551,19.858855726949244
Ecuador,"Legal to trade and hold /  Illegal as a payment tool, banking ban",,,
Ecuador,"Legal to trade and hold /  Illegal as a payment tool, banking ban",2021-02-07,10.56753799908456,11.73902464411007
Egypt,Illegal,2018-08-14,8.730722675334386,15.112973705377549
El Salvador,Legal,2021-09-07,10.753202489438937,12.141854073203522
El Salvador,Legal,2021-10-07,10.892729444858137,11.23426920372576
El Salvador,Legal,2021-10-12,10.933390857988627,11.223241389847775
El Salvador,Legal,2021-10-10,10.90939410023614,11.556272269473594
El Salvador,Legal,2021-06-09,10.527611504005478,12.254005299285476
El Salvador,Legal,2021-06-08,10.415799071812401,12.173239488434934
Estonia,Legal,2022-01-15,10.671208668100814,10.355836246543143
Estonia,Legal,2013-12-24,6.555072356312942,9.301094735244646
European Union,Legal,2022-01-18,10.654068386831824,10.764688318092324
European Union,Legal,2022-01-15,10.671208668100814,10.355836246543143
European Union,Legal,2014-03-05,6.489660754473831,7.138866999945524
European Union,Legal,2016-12-06,6.6309472030822345,10.417208979414145
European Union,Legal,2015-02-18,5.460436216024472,11.509519671835395
European Union,Legal,2015-10-22,5.61458689585173,11.441966376029734
European Union,Legal,2015-10-23,5.623656430176916,11.146488743829542
European Union,Legal,2016-05-26,6.116554157946804,10.537945736747394
European Union,Legal,2019-03-22,8.291646755485717,14.85578726961942
European Union,Legal,2014-07-04,6.436150368369428,8.1886891244442
European Union,Legal,2014-07-08,6.422109953746444,8.07402621612406
Fiji,Legal,,,
Finland,Legal,2017-03-15,7.133615137790575,10.682583045232438
Finland,Legal,2019-03-22,8.291646755485717,14.85578726961942
Finland,Legal,2014-11-14,5.982676041074902,10.483745951017456
