open;high;low;close;volume;marketCap;timestamp
3.2068998814;15.992099762;3.0366899967;15.044500351;120043;159292685.494;"2014-02-27T00:00:00.000Z"
24.7425994873;83.0179977417;24.7425994873;59.4838981628;3882110;630569551.116;"2014-03-03T00:00:00.000Z"
19.628200531;31.1026992798;19.192199707;27.8775005341;413099;295753819.252;"2014-03-08T00:00:00.000Z"
27.3208999634;28.2089996338;22.8222999573;25.2541007996;259612;268137326.062;"2014-03-12T00:00:00.000Z"
10.0054998398;14.1899003983;3.9431800842;9.4544000626;433296;100430082.534;"2014-03-17T00:00:00.000Z"
14.6138000488;15.7978000641;13.9017000198;15.3660001755;143778;163301796.216;"2014-03-22T00:00:00.000Z"
6.1036200523;10.1976003647;4.9212498665;7.6564598083;805082;81422248.7035;"2014-03-26T00:00:00.000Z"
2.0046401024;5.4661698341;2.0046401024;3.1774199009;841793;33838890.6934;"2014-03-31T00:00:00.000Z"
2.0585000515;2.3308598995;1.9295899868;2.0874400139;85240.9;22266647.3322;"2014-04-05T00:00:00.000Z"
1.5404700041;1.6630100012;1.2648799419;1.3450100422;136043;14365430.4154;"2014-04-09T00:00:00.000Z"
0.8366879821;0.9281759858;0.6795390248;0.7866790295;60423.3;8416522.07188;"2014-04-14T00:00:00.000Z"
0.9437680244;0.9676420093;0.8978769779;0.9102669954;19007.4;9751133.2876;"2014-04-18T00:00:00.000Z"
0.6703439951;0.7234240174;0.6356779933;0.6574990153;36853;7055335.09944;"2014-04-23T00:00:00.000Z"
0.3797779977;1.2259099483;0.371333003;0.8452240229;125842;9084626.45411;"2014-04-28T00:00:00.000Z"
0.5468400121;0.5614629984;0.5145040154;0.5349100232;9712.64;5756869.38174;"2014-05-02T00:00:00.000Z"
0.4262120128;0.5966439843;0.4260669947;0.4498699903;10843.1;4849644.03687;"2014-05-07T00:00:00.000Z"
0.4227119982;0.4368110001;0.3908169866;0.4021370113;9823.81;4342260.44693;"2014-05-12T00:00:00.000Z"
0.3961670101;0.4052299857;0.3536170125;0.3670429885;3593.98;3968551.86772;"2014-05-16T00:00:00.000Z"
0.3767929971;0.3989729881;0.3574520051;0.374864012;3836.6;4059894.45243;"2014-05-21T00:00:00.000Z"
0.3294369876;0.3402700126;0.2324700058;0.237342;5576.98;2574348.04099;"2014-05-26T00:00:00.000Z"
0.2586989999;0.2685329914;0.2190790027;0.2543079853;4613.89;2760100.34381;"2014-05-30T00:00:00.000Z"
0.230569005;0.2456739992;0.2039290071;0.2064719945;1694.12;2246180.60134;"2014-06-04T00:00:00.000Z"
0.1844410002;0.2468709946;0.1678059995;0.2064740062;14559.3;2249314.95461;"2014-06-08T00:00:00.000Z"
0.1716769934;0.1886080056;0.16866;0.1740259975;896.47;1898763.05483;"2014-06-13T00:00:00.000Z"
0.1641480029;0.1667670012;0.1437979937;0.1468160003;1223.42;1604610.93722;"2014-06-18T00:00:00.000Z"
0.150503993;0.1506630033;0.1293359995;0.1297429949;129.67;1419875.08599;"2014-06-22T00:00:00.000Z"
0.1328449994;0.1501830071;0.1268309951;0.1320170015;937.78;1447185.27192;"2014-06-27T00:00:00.000Z"
0.1519809961;0.3860880136;0.086887002;0.1438550055;9402.95;1579673.62512;"2014-07-02T00:00:00.000Z"
0.1199190021;0.1396649927;0.1119230017;0.1382099986;144.17;1519693.30698;"2014-07-06T00:00:00.000Z"
0.1045219973;0.1101370007;0.1033110023;0.1072470024;904.12;169299.095353;"2014-07-11T00:00:00.000Z"
0.1057450026;0.1092640013;0.0978228971;0.0996555015;886.5;159166.326485;"2014-07-16T00:00:00.000Z"
0.1077559963;0.1100419983;0.1041869968;0.1076690033;564.25;173560.059282;"2014-07-20T00:00:00.000Z"
0.1066109985;0.1079929993;0.101631999;0.1018960029;1494.66;166126.449288;"2014-07-25T00:00:00.000Z"
0.0357155986;0.0491047017;0.0300916992;0.0398528986;2887.57;65534.7261997;"2014-07-29T00:00:00.000Z"
0.0752452984;0.0958648995;0.0726858974;0.0931205973;4046.56;154784.176019;"2014-08-03T00:00:00.000Z"
0.0607873984;0.0701738;0.0587360002;0.0674166977;3658.73;113216.436921;"2014-08-08T00:00:00.000Z"
0.064280197;0.0678493008;0.0597621985;0.0636105984;2601.41;107774.834832;"2014-08-12T00:00:00.000Z"
0.0545101985;0.0546158999;0.0428483002;0.0442962013;859.2;75835.7806796;"2014-08-17T00:00:00.000Z"
0.0400107987;0.0402401015;0.0355786011;0.0373489;1168.39;64584.7633866;"2014-08-22T00:00:00.000Z"
0.0331064984;0.0374144986;0.0319366008;0.0365897007;891.89;63797.9104318;"2014-08-26T00:00:00.000Z"
0.0342404991;0.1077980027;0.0342392996;0.072266303;49311.8;127374.990013;"2014-08-31T00:00:00.000Z"
0.072146602;0.0748965964;0.0682393983;0.0696254969;2182.65;123967.540818;"2014-09-05T00:00:00.000Z"
0.0664845034;0.0685063973;0.0588659011;0.0637999997;3555.07;114474.138451;"2014-09-09T00:00:00.000Z"
0.0449005999;0.0451796018;0.0381916016;0.0403611995;4068.41;73097.2810898;"2014-09-14T00:00:00.000Z"
0.0456514992;0.0516507998;0.0415764004;0.0433796011;1407.86;79234.5959687;"2014-09-18T00:00:00.000Z"
0.0375788994;0.0429770015;0.0375788994;0.0396129005;3019.36;73059.6755139;"2014-09-23T00:00:00.000Z"
0.0376672;0.0378919989;0.0343802013;0.0345043018;1771.1;64276.0072215;"2014-09-28T00:00:00.000Z"
0.0349153988;0.0371574983;0.0349153988;0.0353858992;982.14;66403.9588776;"2014-10-02T00:00:00.000Z"
0.0339550003;0.0353665017;0.0327335;0.0351320989;590.2;66584.2176742;"2014-10-07T00:00:00.000Z"
0.0476348996;0.0526139997;0.0453445986;0.0491974987;1780.12;94154.9377153;"2014-10-12T00:00:00.000Z"
0.0553359985;0.0569121018;0.0498602986;0.0499251001;1351.52;96272.5919455;"2014-10-16T00:00:00.000Z"
0.0440819003;0.0444937982;0.0423595011;0.0428313017;528.32;83332.7054727;"2014-10-21T00:00:00.000Z"
0.0349446014;0.0379284993;0.0347978994;0.0361838005;441.18;71046.0950019;"2014-10-26T00:00:00.000Z"
0.040889401;0.0460088998;0.0405993983;0.0455614999;2411.62;90154.9544891;"2014-10-30T00:00:00.000Z"
0.0369471014;0.0385114998;0.0369465016;0.0380362011;589.46;75926.5499236;"2014-11-04T00:00:00.000Z"
0.0383326001;0.0385921001;0.0375139005;0.0375188999;307.05;75448.7442479;"2014-11-08T00:00:00.000Z"
0.0575255007;0.0607427992;0.0439178012;0.0500256009;3581.9;101524.603645;"2014-11-13T00:00:00.000Z"
0.058360301;0.0598003007;0.0547500998;0.0549420007;1336.53;112503.52429;"2014-11-18T00:00:00.000Z"
0.0409751981;0.0423444994;0.0392454006;0.0397641994;605.4;81978.987838;"2014-11-22T00:00:00.000Z"
0.0336229987;0.0383879989;0.0320198983;0.0320198983;3160.98;66575.071417;"2014-11-27T00:00:00.000Z"
0.0310018994;0.0330738015;0.0307257995;0.0310385991;1508.98;65086.87315;"2014-12-02T00:00:00.000Z"
0.0295008998;0.0315355994;0.0285280999;0.0294748992;813.76;62228.2339699;"2014-12-06T00:00:00.000Z"
0.0284046009;0.0295279007;0.0262601003;0.0283071008;1174.9;60240.4242322;"2014-12-11T00:00:00.000Z"
0.0260570999;0.0266302992;0.0247153006;0.0260518994;725.72;55846.2334075;"2014-12-15T00:00:00.000Z"
0.0239950009;0.0257948004;0.0238476004;0.0244952999;292.2;52950.3385586;"2014-12-20T00:00:00.000Z"
0.0238614008;0.0258508995;0.0231666006;0.0241087992;534.19;52545.2017569;"2014-12-25T00:00:00.000Z"
0.0233859997;0.0255386997;0.0229458008;0.0240071006;1756.75;52674.0499625;"2014-12-29T00:00:00.000Z"
0.0226706006;0.0230298992;0.0206630006;0.0206630006;213.95;45700.9355187;"2015-01-03T00:00:00.000Z"
0.0208819993;0.0211308002;0.0198417995;0.0202303007;846.08;45102.7557624;"2015-01-08T00:00:00.000Z"
0.0191682;0.0202134997;0.0180984996;0.0183355007;752.3;41152.4802713;"2015-01-12T00:00:00.000Z"
0.0145445;0.0149347;0.0133175002;0.0138398996;369.33;31302.6082461;"2015-01-17T00:00:00.000Z"
0.0149659002;0.0159940999;0.0149611002;0.0159571003;135.85;36367.4754416;"2015-01-22T00:00:00.000Z"
0.0170127992;0.0217652991;0.0170127992;0.0195409004;234.6;44810.5175815;"2015-01-26T00:00:00.000Z"
0.0156804007;0.0162445009;0.0147815999;0.0148903998;160.66;34412.5034865;"2015-01-31T00:00:00.000Z"
0.0148954;0.0149737997;0.0142668998;0.0145025002;372.65;33726.3322805;"2015-02-04T00:00:00.000Z"
0.0139605002;0.0143058999;0.0133926002;0.0135823004;171.67;31827.7837989;"2015-02-09T00:00:00.000Z"
0.0159674995;0.0181437004;0.0159112997;0.0176145993;494.78;41590.5453274;"2015-02-14T00:00:00.000Z"
0.0163612999;0.0174155999;0.0160849001;0.0162886996;357.23;38691.0050791;"2015-02-18T00:00:00.000Z"
0.0163895991;0.0178573001;0.0162863992;0.0172511004;289.99;41283.659042;"2015-02-23T00:00:00.000Z"
0.0181779992;0.0184799004;0.0176064;0.0179552995;261.71;43288.4865096;"2015-02-28T00:00:00.000Z"
0.0197259001;0.0199858006;0.0187963005;0.0192521997;152.57;46688.8084937;"2015-03-04T00:00:00.000Z"
0.0186656993;0.0193956997;0.0185397007;0.0185397007;391.21;45308.7648262;"2015-03-09T00:00:00.000Z"
