Country,Legal Status,Citation Date,Exchange Rate
Thailand,Legal to trade and hold /  Illegal as payment tool,2017-10-29,"[nan, nan]"
Thailand,Legal to trade and hold /  Illegal as payment tool,2012-05-23,"[nan, nan]"
Thailand,Legal to trade and hold /  Illegal as payment tool,2017-10-30,"[nan, nan]"
Tonga,Legal,,
Trinidad and Tobago,Legal,2018-11-15,"[nan, nan]"
Trinidad and Tobago,Legal,2020-06-08,"[nan, nan]"
Turkey,Legal /  Banking ban,2021-04-16,"[nan, nan]"
Tuvalu,Legal,,
Ukraine,Legal /   Illegal to buy with local currency,2022-02-09,"[nan, nan]"
Ukraine,Legal /   Illegal to buy with local currency,2022-03-17,"[nan, nan]"
United Arab Emirates,Legal /  Banking ban,,
United Arab Emirates,Legal /  Banking ban,2018-02-12,"[nan, nan]"
United Arab Emirates,Legal /  Banking ban,2018-02-13,"[nan, nan]"
United Arab Emirates,Legal /  Banking ban,2022-02-09,"[nan, nan]"
United Arab Emirates,Legal /  Banking ban,2018-08-14,"[nan, nan]"
United Kingdom,Legal,2023-01-24,"[0.8218241, 0.8274815]"
United Kingdom,Legal,,
United Kingdom,Legal,2022-03-11,"[0.7386975, 0.7737271]"
United Kingdom,Legal,2022-01-15,"[0.7511087, 0.7386975]"
United States,Legal,2018-06-22,"[nan, nan]"
United States,Legal,2017-04-22,"[nan, nan]"
United States,Legal,2013-11-19,"[nan, nan]"
United States,Legal,2014-06-01,"[nan, nan]"
United States,Legal,2018-08-09,"[nan, nan]"
United States,Legal,2018-08-13,"[nan, nan]"
United States,Legal,2016-09-20,"[nan, nan]"
United States,Legal,2019-03-22,"[nan, nan]"
United States,Legal,2018-08-14,"[nan, nan]"
Uzbekistan,Legal,,
Vanuatu,Legal,2021-03-14,"[nan, nan]"
Venezuela,Legal,2018-07-27,"[nan, nan]"
Vietnam,Legal to trade and hold /  Illegal as payment tool,2017-11-06,"[nan, nan]"
Vietnam,Legal to trade and hold /  Illegal as payment tool,2017-10-28,"[nan, nan]"
Zimbabwe,Unknown,2022-02-09,"[nan, nan]"
