"","hits","date","keyword","geo","time","gprop","category"
"74","54",2023-03-22 04:00:00,"Bitcoin","US","now 1-d","web",0
"75","59",2023-03-22 04:08:00,"Bitcoin","US","now 1-d","web",0
"76","60",2023-03-22 04:16:00,"Bitcoin","US","now 1-d","web",0
"77","63",2023-03-22 04:24:00,"Bitcoin","US","now 1-d","web",0
"78","62",2023-03-22 04:32:00,"Bitcoin","US","now 1-d","web",0
"79","61",2023-03-22 04:40:00,"Bitcoin","US","now 1-d","web",0
"80","59",2023-03-22 04:48:00,"Bitcoin","US","now 1-d","web",0
"81","65",2023-03-22 04:56:00,"Bitcoin","US","now 1-d","web",0
"82","63",2023-03-22 05:04:00,"Bitcoin","US","now 1-d","web",0
"83","57",2023-03-22 05:12:00,"Bitcoin","US","now 1-d","web",0
"84","68",2023-03-22 05:20:00,"Bitcoin","US","now 1-d","web",0
"85","62",2023-03-22 05:28:00,"Bitcoin","US","now 1-d","web",0
"86","69",2023-03-22 05:36:00,"Bitcoin","US","now 1-d","web",0
"87","61",2023-03-22 05:44:00,"Bitcoin","US","now 1-d","web",0
"88","66",2023-03-22 05:52:00,"Bitcoin","US","now 1-d","web",0
"89","63",2023-03-22 06:00:00,"Bitcoin","US","now 1-d","web",0
"90","63",2023-03-22 06:08:00,"Bitcoin","US","now 1-d","web",0
"91","73",2023-03-22 06:16:00,"Bitcoin","US","now 1-d","web",0
"92","75",2023-03-22 06:24:00,"Bitcoin","US","now 1-d","web",0
"93","66",2023-03-22 06:32:00,"Bitcoin","US","now 1-d","web",0
"94","69",2023-03-22 06:40:00,"Bitcoin","US","now 1-d","web",0
"95","76",2023-03-22 06:48:00,"Bitcoin","US","now 1-d","web",0
"96","60",2023-03-22 06:56:00,"Bitcoin","US","now 1-d","web",0
"97","66",2023-03-22 07:04:00,"Bitcoin","US","now 1-d","web",0
"98","77",2023-03-22 07:12:00,"Bitcoin","US","now 1-d","web",0
"99","74",2023-03-22 07:20:00,"Bitcoin","US","now 1-d","web",0
"100","78",2023-03-22 07:28:00,"Bitcoin","US","now 1-d","web",0
"101","72",2023-03-22 07:36:00,"Bitcoin","US","now 1-d","web",0
"102","84",2023-03-22 07:44:00,"Bitcoin","US","now 1-d","web",0
"103","79",2023-03-22 07:52:00,"Bitcoin","US","now 1-d","web",0
"104","81",2023-03-22 08:00:00,"Bitcoin","US","now 1-d","web",0
"105","90",2023-03-22 08:08:00,"Bitcoin","US","now 1-d","web",0
"106","88",2023-03-22 08:16:00,"Bitcoin","US","now 1-d","web",0
"107","81",2023-03-22 08:24:00,"Bitcoin","US","now 1-d","web",0
"108","87",2023-03-22 08:32:00,"Bitcoin","US","now 1-d","web",0
"109","77",2023-03-22 08:40:00,"Bitcoin","US","now 1-d","web",0
"110","88",2023-03-22 08:48:00,"Bitcoin","US","now 1-d","web",0
"111","78",2023-03-22 08:56:00,"Bitcoin","US","now 1-d","web",0
"112","77",2023-03-22 09:04:00,"Bitcoin","US","now 1-d","web",0
"113","85",2023-03-22 09:12:00,"Bitcoin","US","now 1-d","web",0
"114","92",2023-03-22 09:20:00,"Bitcoin","US","now 1-d","web",0
"115","84",2023-03-22 09:28:00,"Bitcoin","US","now 1-d","web",0
"116","87",2023-03-22 09:36:00,"Bitcoin","US","now 1-d","web",0
"117","92",2023-03-22 09:44:00,"Bitcoin","US","now 1-d","web",0
"118","96",2023-03-22 09:52:00,"Bitcoin","US","now 1-d","web",0
"119","89",2023-03-22 10:00:00,"Bitcoin","US","now 1-d","web",0
"120","100",2023-03-22 10:08:00,"Bitcoin","US","now 1-d","web",0
"121","85",2023-03-22 10:16:00,"Bitcoin","US","now 1-d","web",0
"122","88",2023-03-22 10:24:00,"Bitcoin","US","now 1-d","web",0
"123","88",2023-03-22 10:32:00,"Bitcoin","US","now 1-d","web",0
"124","92",2023-03-22 10:40:00,"Bitcoin","US","now 1-d","web",0
"125","94",2023-03-22 10:48:00,"Bitcoin","US","now 1-d","web",0
"126","91",2023-03-22 10:56:00,"Bitcoin","US","now 1-d","web",0
"127","81",2023-03-22 11:04:00,"Bitcoin","US","now 1-d","web",0
"128","84",2023-03-22 11:12:00,"Bitcoin","US","now 1-d","web",0
"129","85",2023-03-22 11:20:00,"Bitcoin","US","now 1-d","web",0
"130","82",2023-03-22 11:28:00,"Bitcoin","US","now 1-d","web",0
"131","78",2023-03-22 11:36:00,"Bitcoin","US","now 1-d","web",0
"132","82",2023-03-22 11:44:00,"Bitcoin","US","now 1-d","web",0
"133","77",2023-03-22 11:52:00,"Bitcoin","US","now 1-d","web",0
"134","62",2023-03-22 12:00:00,"Bitcoin","US","now 1-d","web",0
"135","69",2023-03-22 12:08:00,"Bitcoin","US","now 1-d","web",0
"136","65",2023-03-22 12:16:00,"Bitcoin","US","now 1-d","web",0
