,hits,date,keyword,geo,time,gprop,category
106,<1,10/1/2012,Bitcoin,US,all,web,0
107,<1,11/1/2012,Bitcoin,US,all,web,0
108,1,12/1/2012,Bitcoin,US,all,web,0
109,1,1/1/2013,Bitcoin,US,all,web,0
110,1,2/1/2013,Bitcoin,US,all,web,0
111,2,3/1/2013,Bitcoin,US,all,web,0
112,8,4/1/2013,Bitcoin,US,all,web,0
113,3,5/1/2013,Bitcoin,US,all,web,0
114,2,6/1/2013,Bitcoin,US,all,web,0
115,2,7/1/2013,Bitcoin,US,all,web,0
116,2,8/1/2013,Bitcoin,US,all,web,0
117,1,9/1/2013,Bitcoin,US,all,web,0
118,3,10/1/2013,Bitcoin,US,all,web,0
119,9,11/1/2013,Bitcoin,US,all,web,0
120,12,12/1/2013,Bitcoin,US,all,web,0
121,8,1/1/2014,Bitcoin,US,all,web,0
122,10,2/1/2014,Bitcoin,US,all,web,0
123,7,3/1/2014,Bitcoin,US,all,web,0
124,4,4/1/2014,Bitcoin,US,all,web,0
125,3,5/1/2014,Bitcoin,US,all,web,0
126,3,6/1/2014,Bitcoin,US,all,web,0
127,3,7/1/2014,Bitcoin,US,all,web,0
128,2,8/1/2014,Bitcoin,US,all,web,0
129,3,9/1/2014,Bitcoin,US,all,web,0
130,3,10/1/2014,Bitcoin,US,all,web,0
131,2,11/1/2014,Bitcoin,US,all,web,0
132,3,12/1/2014,Bitcoin,US,all,web,0
133,3,1/1/2015,Bitcoin,US,all,web,0
134,3,2/1/2015,Bitcoin,US,all,web,0
135,2,3/1/2015,Bitcoin,US,all,web,0
136,2,4/1/2015,Bitcoin,US,all,web,0
137,2,5/1/2015,Bitcoin,US,all,web,0
138,2,6/1/2015,Bitcoin,US,all,web,0
139,2,7/1/2015,Bitcoin,US,all,web,0
140,2,8/1/2015,Bitcoin,US,all,web,0
141,2,9/1/2015,Bitcoin,US,all,web,0
142,2,10/1/2015,Bitcoin,US,all,web,0
143,3,11/1/2015,Bitcoin,US,all,web,0
144,3,12/1/2015,Bitcoin,US,all,web,0
145,3,1/1/2016,Bitcoin,US,all,web,0
146,2,2/1/2016,Bitcoin,US,all,web,0
147,2,3/1/2016,Bitcoin,US,all,web,0
148,2,4/1/2016,Bitcoin,US,all,web,0
149,3,5/1/2016,Bitcoin,US,all,web,0
150,4,6/1/2016,Bitcoin,US,all,web,0
151,3,7/1/2016,Bitcoin,US,all,web,0
152,2,8/1/2016,Bitcoin,US,all,web,0
153,2,9/1/2016,Bitcoin,US,all,web,0
154,2,10/1/2016,Bitcoin,US,all,web,0
155,3,11/1/2016,Bitcoin,US,all,web,0
156,3,12/1/2016,Bitcoin,US,all,web,0
157,5,1/1/2017,Bitcoin,US,all,web,0
158,4,2/1/2017,Bitcoin,US,all,web,0
159,5,3/1/2017,Bitcoin,US,all,web,0
160,4,4/1/2017,Bitcoin,US,all,web,0
161,11,5/1/2017,Bitcoin,US,all,web,0
162,11,6/1/2017,Bitcoin,US,all,web,0
163,9,7/1/2017,Bitcoin,US,all,web,0
164,15,8/1/2017,Bitcoin,US,all,web,0
165,15,9/1/2017,Bitcoin,US,all,web,0
166,16,10/1/2017,Bitcoin,US,all,web,0
167,38,11/1/2017,Bitcoin,US,all,web,0
168,100,12/1/2017,Bitcoin,US,all,web,0
169,51,1/1/2018,Bitcoin,US,all,web,0
170,36,2/1/2018,Bitcoin,US,all,web,0
171,20,3/1/2018,Bitcoin,US,all,web,0
172,16,4/1/2018,Bitcoin,US,all,web,0
173,12,5/1/2018,Bitcoin,US,all,web,0
174,12,6/1/2018,Bitcoin,US,all,web,0
175,11,7/1/2018,Bitcoin,US,all,web,0
176,11,8/1/2018,Bitcoin,US,all,web,0
177,9,9/1/2018,Bitcoin,US,all,web,0
178,7,10/1/2018,Bitcoin,US,all,web,0
179,10,11/1/2018,Bitcoin,US,all,web,0
180,10,12/1/2018,Bitcoin,US,all,web,0
181,7,1/1/2019,Bitcoin,US,all,web,0
182,7,2/1/2019,Bitcoin,US,all,web,0
183,6,3/1/2019,Bitcoin,US,all,web,0
184,10,4/1/2019,Bitcoin,US,all,web,0
185,14,5/1/2019,Bitcoin,US,all,web,0
186,16,6/1/2019,Bitcoin,US,all,web,0
187,14,7/1/2019,Bitcoin,US,all,web,0
188,10,8/1/2019,Bitcoin,US,all,web,0
189,9,9/1/2019,Bitcoin,US,all,web,0
190,9,10/1/2019,Bitcoin,US,all,web,0
191,8,11/1/2019,Bitcoin,US,all,web,0
192,7,12/1/2019,Bitcoin,US,all,web,0
193,8,1/1/2020,Bitcoin,US,all,web,0
194,10,2/1/2020,Bitcoin,US,all,web,0
195,12,3/1/2020,Bitcoin,US,all,web,0
196,10,4/1/2020,Bitcoin,US,all,web,0
197,13,5/1/2020,Bitcoin,US,all,web,0
198,9,6/1/2020,Bitcoin,US,all,web,0
199,10,7/1/2020,Bitcoin,US,all,web,0
200,11,8/1/2020,Bitcoin,US,all,web,0
201,8,9/1/2020,Bitcoin,US,all,web,0
202,10,10/1/2020,Bitcoin,US,all,web,0
203,17,11/1/2020,Bitcoin,US,all,web,0
204,25,12/1/2020,Bitcoin,US,all,web,0
205,50,1/1/2021,Bitcoin,US,all,web,0
206,51,2/1/2021,Bitcoin,US,all,web,0
207,34,3/1/2021,Bitcoin,US,all,web,0
208,37,4/1/2021,Bitcoin,US,all,web,0
209,45,5/1/2021,Bitcoin,US,all,web,0
210,30,6/1/2021,Bitcoin,US,all,web,0
211,22,7/1/2021,Bitcoin,US,all,web,0
212,20,8/1/2021,Bitcoin,US,all,web,0
213,20,9/1/2021,Bitcoin,US,all,web,0
214,27,10/1/2021,Bitcoin,US,all,web,0
215,25,11/1/2021,Bitcoin,US,all,web,0
