snapped_at,price (open),market_cap,total_volume
2021-10-30 00:00:00 UTC,0.212921292,4165414.092,75.98090827
2021-10-31 00:00:00 UTC,0.187876679,3695349.362,392.4061216
2021-11-01 00:00:00 UTC,0.184811706,3606849.846,205.4045668
2021-11-02 00:00:00 UTC,0.232336335,3883880.063,359.5251551
2021-11-03 00:00:00 UTC,0.207095095,4032149.046,165.2405831
2021-11-04 00:00:00 UTC,0.177082175,3460737.202,979.2831021
2021-11-05 00:00:00 UTC,0.203216142,3954877.78,2297.009446
2021-11-06 00:00:00 UTC,0.183951882,3613670.602,1863.730491
2021-11-07 00:00:00 UTC,0.185428823,3625436.605,197.6258935
2021-11-08 00:00:00 UTC,0.177761235,3483838.946,60.10789317
2021-11-09 00:00:00 UTC,0.202309645,3950009.928,167.3508888
2021-11-10 00:00:00 UTC,0.199297549,3898001.702,318.1063564
2021-11-11 00:00:00 UTC,0.241820997,4740567.625,1639.13504
2021-11-12 00:00:00 UTC,0.241938141,4260091.116,173.5843047
2021-11-13 00:00:00 UTC,0.18878137,3695986.588,122.3298353
2021-11-14 00:00:00 UTC,0.204609903,4008415.419,141.9880927
2021-11-15 00:00:00 UTC,0.253827874,4973086.128,66.21612621
2021-11-16 00:00:00 UTC,0.238891874,4685404.635,768.1044876
2021-11-17 00:00:00 UTC,0.223332361,3519437.245,338.5371066
2021-11-18 00:00:00 UTC,0.180698204,3522351.258,208.6318562
2021-11-19 00:00:00 UTC,0.140257536,2748985.284,1760.98146
2021-11-20 00:00:00 UTC,0.150209469,2936265.499,61.69404662
2021-11-21 00:00:00 UTC,0.153995756,3009056.407,30.42455568
2021-11-22 00:00:00 UTC,0.163425257,3216268.077,306.8163498
2021-11-23 00:00:00 UTC,0.161035196,3157811.496,287.8243853
2021-11-24 00:00:00 UTC,0.102055796,2001168.73,102.3422863
2021-11-25 00:00:00 UTC,0.137382309,2821263.21,159.9976537
2021-11-26 00:00:00 UTC,0.13012034,3240994.965,167.194742
2021-11-27 00:00:00 UTC,0.131465328,2593551.441,215.0935008
2021-11-28 00:00:00 UTC,0.137223981,2692912.396,325.9217094
2021-11-29 00:00:00 UTC,0.174089846,3409539.761,208.4072275
2021-11-30 00:00:00 UTC,0.15121763,2966314.229,233.6797509
2021-12-01 00:00:00 UTC,0.159033621,3117586.341,106.7854825
2021-12-02 00:00:00 UTC,0.145705793,2854707.651,19.66187958
2021-12-03 00:00:00 UTC,0.167720169,3291479.806,2632.864585
2021-12-04 00:00:00 UTC,0.145635161,2853654.878,1514.576712
2021-12-05 00:00:00 UTC,0.122764872,2409687.38,284.8003512
2021-12-06 00:00:00 UTC,0.128495157,2522392.54,6.72317895
2021-12-07 00:00:00 UTC,0.151778737,2979726.619,1508.08735
2021-12-08 00:00:00 UTC,0.136948671,2684128.245,46.69531679
2021-12-09 00:00:00 UTC,0.138588136,2722115.156,1550.401362
2021-12-10 00:00:00 UTC,0.158365653,3109894.627,75.47032351
2021-12-11 00:00:00 UTC,0.12733009,2517063.856,3.243556972
2021-12-12 00:00:00 UTC,0.138995296,2700277.982,12.78729024
2021-12-13 00:00:00 UTC,0.150690608,2959993.769,223.4081577
2021-12-14 00:00:00 UTC,0.147717392,2901856.47,259.1398191
2021-12-15 00:00:00 UTC,0.152082291,2984629.005,16.23281
2021-12-16 00:00:00 UTC,0.139336206,2756013.827,1079.177533
2021-12-17 00:00:00 UTC,0.134834845,2658576.919,421.4870618
2021-12-18 00:00:00 UTC,0.166984922,3281571.616,175.4251508
2021-12-19 00:00:00 UTC,0.126808389,2486495.621,583.4394934
2021-12-20 00:00:00 UTC,0.167575879,3299427.244,804.7626906
2021-12-21 00:00:00 UTC,0.150467004,2957274.507,216.9592359
2021-12-22 00:00:00 UTC,0.162806957,3200649.852,76.90489376
2021-12-23 00:00:00 UTC,0.169753475,3337508.224,1305.560035
2021-12-24 00:00:00 UTC,0.202551798,3982723.842,371.7615416
2021-12-25 00:00:00 UTC,0.220496718,4335991.054,17757.71219
2021-12-26 00:00:00 UTC,0.213975053,4194732.914,2439.577262
2021-12-27 00:00:00 UTC,0.211727565,4164309.349,996.2901134
2021-12-28 00:00:00 UTC,0.178428455,3512231.649,2008.43264
2021-12-29 00:00:00 UTC,0.18974246,3732584.73,554.564658
2021-12-30 00:00:00 UTC,0.16742887,3361784.803,257.9371778
2021-12-31 00:00:00 UTC,0.167710499,3299766.128,46.75411357
2022-01-01 00:00:00 UTC,0.165917913,3264694.596,1020.528267
2022-01-02 00:00:00 UTC,0.176398808,3464122.252,625.9100193
2022-01-03 00:00:00 UTC,0.18714256,3683117.397,1046.424988
2022-01-04 00:00:00 UTC,0.184850304,3638336.433,1487.687175
2022-01-05 00:00:00 UTC,0.183588596,3593312.398,2329.185782
